Date,State,Country,Cumulative_cases,Cumulative_death,Daily_cases,Daily_death,Latitude,Longitude,Temperature,Min_temperature,Max_temperature,Wind_speed,Precipitation,Fog_Presence,Population,Population Density/km,Median_Age,Sex_Ratio,Age%_65+,Hospital Beds/1000,Available Beds/1000,Confirmed Cases/1000,Lung Patients (F),Lung Patients (M),Life Expectancy (M),Life Expectancy (F),Total_tests_conducted,Out_Travels (mill.),In_travels(mill.),Domestic_Travels (mill.)
22-01-2020,,Italy,0,0,0,0,43,12,5.78,-2,11.61,1,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
23-01-2020,,Italy,0,0,0,0,43,12,9.44,6.78,12,0.3,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
24-01-2020,,Italy,0,0,0,0,43,12,5.39,5,6,1.4,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
25-01-2020,,Italy,0,0,0,0,43,12,9.44,5.61,12.22,2.1,0.51,1,60461826,206,47,0.93,21.69,3.4,0.85,0,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
26-01-2020,,Italy,0,0,0,0,43,12,9.06,7,11.39,0.9,0.2,1,60461826,206,47,0.93,21.69,3.4,0.85,0,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
27-01-2020,,Italy,0,0,0,0,43,12,7.33,4.78,10,0.4,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
28-01-2020,,Italy,0,0,0,0,43,12,7.56,6,9,5,0,1,60461826,206,47,0.93,21.69,3.4,0.85,0,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
29-01-2020,,Italy,0,0,0,0,43,12,8.11,6.61,10,6.2,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
30-01-2020,,Italy,0,0,0,0,43,12,8.44,4.78,11,0.2,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
31-01-2020,,Italy,2,0,2,0,43,12,7,6.39,7.22,3.4,0,1,60461826,206,47,0.93,21.69,3.4,0.85,3.31E-05,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
01-02-2020,,Italy,2,0,0,0,43,12,11.28,9,13,6.2,0,1,60461826,206,47,0.93,21.69,3.4,0.85,3.31E-05,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
02-02-2020,,Italy,2,0,0,0,43,12,12.17,9.61,14.22,4.9,0,0,60461826,206,47,0.93,21.69,3.4,0.85,3.31E-05,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
03-02-2020,,Italy,2,0,0,0,43,12,10.67,8,13,1.3,0,1,60461826,206,47,0.93,21.69,3.4,0.85,3.31E-05,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
04-02-2020,,Italy,2,0,0,0,43,12,9.33,6.78,12.39,10.6,0,1,60461826,206,47,0.93,21.69,3.4,0.85,3.31E-05,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
05-02-2020,,Italy,2,0,0,0,43,12,4.78,0.78,8,6,0,0,60461826,206,47,0.93,21.69,3.4,0.85,3.31E-05,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
06-02-2020,,Italy,2,0,0,0,43,12,3.56,-0.22,7,9.1,0,0,60461826,206,47,0.93,21.69,3.4,0.85,3.31E-05,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
07-02-2020,,Italy,3,0,1,0,43,12,5,2.78,7,1,0,0,60461826,206,47,0.93,21.69,3.4,0.85,4.96E-05,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
08-02-2020,,Italy,3,0,0,0,43,12,5.72,-4.22,12.22,0,0,0,60461826,206,47,0.93,21.69,3.4,0.85,4.96E-05,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
09-02-2020,,Italy,3,0,0,0,43,12,6.33,-3,11,1.5,0,0,60461826,206,47,0.93,21.69,3.4,0.85,4.96E-05,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
10-02-2020,,Italy,3,0,0,0,43,12,7.72,6.39,9,6.5,0,1,60461826,206,47,0.93,21.69,3.4,0.85,4.96E-05,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
11-02-2020,,Italy,3,0,0,0,43,12,13.33,11.39,15.61,10.7,0,0,60461826,206,47,0.93,21.69,3.4,0.85,4.96E-05,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
12-02-2020,,Italy,3,0,0,0,43,12,9.56,7,13,1.1,0,0,60461826,206,47,0.93,21.69,3.4,0.85,4.96E-05,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
13-02-2020,,Italy,3,0,0,0,43,12,8.44,6,11,3.1,0,0,60461826,206,47,0.93,21.69,3.4,0.85,4.96E-05,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
14-02-2020,,Italy,3,0,0,0,43,12,8.61,5.78,10,12,0,0,60461826,206,47,0.93,21.69,3.4,0.85,4.96E-05,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
15-02-2020,,Italy,3,0,0,0,43,12,9.5,-1.39,16.22,1.1,0,0,60461826,206,47,0.93,21.69,3.4,0.85,4.96E-05,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
16-02-2020,,Italy,3,0,0,0,43,12,8.78,-1.22,15.78,2.3,0,0,60461826,206,47,0.93,21.69,3.4,0.85,4.96E-05,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
17-02-2020,,Italy,3,0,0,0,43,12,8.56,5.61,13,1.7,0,0,60461826,206,47,0.93,21.69,3.4,0.85,4.96E-05,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
18-02-2020,,Italy,3,0,0,0,43,12,9.11,0.61,12,1.6,0,0,60461826,206,47,0.93,21.69,3.4,0.85,4.96E-05,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
19-02-2020,,Italy,3,0,0,0,43,12,7.11,5.78,9,1.5,0,1,60461826,206,47,0.93,21.69,3.4,0.85,4.96E-05,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
20-02-2020,,Italy,3,0,0,0,43,12,6.78,3.39,9,5.4,0,0,60461826,206,47,0.93,21.69,3.4,0.85,4.96E-05,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
21-02-2020,,Italy,20,1,17,1,43,12,7.22,5,9,0,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0.000330787,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
22-02-2020,,Italy,62,2,42,1,43,12,9.5,0,15.78,3.1,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0.00102544,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
23-02-2020,,Italy,155,3,93,1,43,12,9.22,-1,14.61,4.6,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0.002563601,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
24-02-2020,,Italy,229,7,74,4,43,12,10.39,6,14,1.6,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0.003787514,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
25-02-2020,,Italy,322,10,93,3,43,12,8.11,6.61,10,7.7,0,1,60461826,206,47,0.93,21.69,3.4,0.85,0.005325674,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
26-02-2020,,Italy,453,12,131,2,43,12,7.78,6.39,10,8.8,0,1,60461826,206,47,0.93,21.69,3.4,0.85,0.007492331,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
27-02-2020,,Italy,655,17,202,5,43,12,4.44,0,9,3.3,0.04,0,60461826,206,47,0.93,21.69,3.4,0.85,0.010833282,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
28-02-2020,,Italy,888,21,233,4,43,12,6.39,4.39,8,4.2,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0.014686953,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
29-02-2020,,Italy,1128,29,240,8,43,12,7.67,-2.39,13.39,4.1,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0.0186564,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
01-03-2020,,Italy,1694,34,566,5,43,12,10.61,6.61,12.39,11,0.98,1,60461826,206,47,0.93,21.69,3.4,0.85,0.028017678,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
02-03-2020,,Italy,2036,52,342,18,43,12,10.33,5.78,13.39,12.9,0.41,1,60461826,206,47,0.93,21.69,3.4,0.85,0.03367414,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
03-03-2020,,Italy,2502,79,466,27,43,12,7.72,5.61,10.61,6.1,0.83,1,60461826,206,47,0.93,21.69,3.4,0.85,0.041381483,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
04-03-2020,,Italy,3089,107,587,28,43,12,7.67,2.39,11.61,3.3,0,1,60461826,206,47,0.93,21.69,3.4,0.85,0.051090088,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
05-03-2020,,Italy,3858,148,769,41,43,12,7.22,-1,11,2.9,0.02,1,60461826,206,47,0.93,21.69,3.4,0.85,0.063808857,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
06-03-2020,,Italy,4636,197,778,49,43,12,10.83,7.22,13.78,7.9,0.75,0,60461826,206,47,0.93,21.69,3.4,0.85,0.07667648,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
07-03-2020,,Italy,5883,233,1247,36,43,12,8.67,4.22,11.39,4.4,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0.097301064,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
08-03-2020,,Italy,7375,366,1492,133,43,12,9.5,1,13.22,5.1,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0.121977791,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
09-03-2020,,Italy,9172,463,1797,97,43,12,9,-1,13,2.9,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0.151699024,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
10-03-2020,,Italy,10149,631,977,168,43,12,11.06,0.78,15.22,2.9,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0.16785798,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
11-03-2020,,Italy,12462,827,2313,196,43,12,12.22,1,18,2.8,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0.206113524,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
12-03-2020,,Italy,12462,827,0,0,43,12,9.72,3.61,11.78,2.9,0,1,60461826,206,47,0.93,21.69,3.4,0.85,0.206113524,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
13-03-2020,,Italy,17660,1266,5198,439,43,12,12.39,9,15,4.3,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0.292085125,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
14-03-2020,,Italy,21157,1441,3497,175,43,12,13,11,16,7.4,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0.349923272,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
15-03-2020,,Italy,24747,1809,3590,368,43,12,11.06,7,14,8.8,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0.40929958,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
16-03-2020,,Italy,27980,2158,3233,349,43,12,13,3,17,2.4,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0.462771336,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
17-03-2020,,Italy,31506,2503,3526,345,43,12,11.28,0,17.39,1.6,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0.521089125,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
18-03-2020,,Italy,35713,2978,4207,475,43,12,13.06,0,18.61,4.4,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0.590670219,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
19-03-2020,,Italy,41035,3405,5322,427,43,12,14.78,1.61,19.22,3,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0.678692701,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
20-03-2020,,Italy,47021,4032,5986,627,43,12,13.28,1.78,18.61,3.1,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0.777697319,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
21-03-2020,,Italy,53578,4825,6557,793,43,12,13.78,2.78,19,4,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0.886145913,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
22-03-2020,,Italy,59138,5476,5560,651,43,12,12.72,5.78,16,8.4,0,0,60461826,206,47,0.93,21.69,3.4,0.85,0.978104763,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
23-03-2020,,Italy,63927,6077,4789,601,43,12,4.78,2.61,7.22,11.5,0,0,60461826,206,47,0.93,21.69,3.4,0.85,1.057311766,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
24-03-2020,,Italy,69176,6820,5249,743,43,12,4.06,-1,8,6.4,0,0,60461826,206,47,0.93,21.69,3.4,0.85,1.144126874,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
25-03-2020,,Italy,74386,7503,5210,683,43,12,4.44,0.22,6.39,8.3,0.05,0,60461826,206,47,0.93,21.69,3.4,0.85,1.230296948,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
26-03-2020,,Italy,80589,8215,6203,712,43,12,6.06,3,7.39,12.6,0.01,1,60461826,206,47,0.93,21.69,3.4,0.85,1.332890608,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
27-03-2020,,Italy,86498,9134,5909,919,43,12,8.78,6.39,10,11.3,0,0,60461826,206,47,0.93,21.69,3.4,0.85,1.430621695,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
28-03-2020,,Italy,92472,10023,5974,889,43,12,12.94,6.78,17,2.2,0,0,60461826,206,47,0.93,21.69,3.4,0.85,1.529427841,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
29-03-2020,,Italy,97689,10779,5217,756,43,12,11.44,1,18,1.9,0,0,60461826,206,47,0.93,21.69,3.4,0.85,1.61571369,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
30-03-2020,,Italy,101739,11591,4050,812,43,12,11.44,1,18,1.9,0,0,60461826,206,47,0.93,21.69,3.4,0.85,1.682698104,12.78,22.78,79.7,85.2,541423,61.195,93,N/A
